image,fruit,frp,mv,lm,ld,am,ad,bm,bd,chroma,q_ref,i1_ref,i2_ref,i_index_ref,q_pred,i_pred
T0 4 (25-32).JPG,3,0.3353718199608611,0.2742,0.1376126921356778,0.27039759686121145,26.720277169948943,11.026763618438487,21.079868708971553,6.14377664973144,34.034307350471714,3,3,0,1,2,5
T0 4 (25-32).JPG,4,0.3037128712871287,0.2454,0.12088803111521691,0.25697888791416745,27.704563977180115,10.501267220528291,20.100244498777506,3.941676458837472,34.228098020139846,3,3,0,1,2,5
T0 4 (25-32).JPG,5,0.24242805077290436,0.1929,0.09630318220506846,0.23465557681558732,29.632452047693103,9.799133712460417,18.725246241575945,3.5032666758014366,35.053060653336466,3,3,0,1,1,5
T0 4 (25-32).JPG,6,0.27401886572726214,0.2353,0.11800492059941847,0.25454803915194196,26.446238844028898,11.038345428057022,20.842328941776454,4.721234686442783,33.67203921226981,2,3,0,1,2,5
T0 4 (25-32).JPG,7,0.340022023736694,0.2779,0.1390669695935208,0.27025562946596227,24.86604249189773,10.968383013451676,22.0269881252249,4.68300564618395,33.21909503700638,3,3,0,1,2,5
T0 5 (33-40).JPG,1,0.2944065157503893,0.2458,0.12368609409960604,0.2598755188664797,27.60781122864117,10.871801410859772,17.35760781122864,6.3288207290261065,32.611007187216885,2,3,0,1,2,5
T0 5 (33-40).JPG,2,0.3718482252141983,0.3038,0.15442750472200484,0.28273994060768676,29.357142857142858,12.040876998541643,22.35660190977939,5.1103335281647,36.900670531672525,3,3,0,1,2,5
T0 5 (33-40).JPG,3,0.3957538774472413,0.3113,0.15758353797019858,0.2841850065561244,26.137809187279153,11.278814401669637,25.54352714423386,7.084555442521979,36.5466393541024,3,4,0,1,2,2
T0 5 (33-40).JPG,3,0.3957538774472413,0.3113,0.15758353797019858,0.2841850065561244,26.137809187279153,11.278814401669637,25.54352714423386,7.084555442521979,36.5466393541024,3,4,0,1,2,2
T0 5 (33-40).JPG,4,0.2974549968963377,0.2396,0.1200029045749017,0.25745543654527636,26.650939457202504,9.583828267092413,22.946160267111853,5.558088102331538,35.16815100279592,3,3,0,1,2,5
T0 5 (33-40).JPG,5,0.3586809400762889,0.2915,0.1447692144698584,0.2736466292718273,26.590051457975985,10.970584581935151,21.726586620926245,5.347258143426906,34.33766740380631,3,3,0,1,2,5
T0 Gul 1.1 (1-8).JPG,2,0.33506274131274133,0.2777,0.13464523064127612,0.26567902621515593,21.604106628242075,10.388975140082534,24.847567567567566,6.906597474724225,32.92626667615521,2,2,0,1,2,2
T0 Gul 1.1 (1-8).JPG,3,0.335012285012285,0.2727,0.1366628189121063,0.2700713741329116,32.346294937637566,12.817917484896766,20.241746148202495,5.363516646514437,38.15771328736705,3,4,0,1,2,5
T0 Gul 1.1 (1-8).JPG,4,0.4527568617925674,0.3728,0.188507019910197,0.3024792034032736,25.36722103004292,11.149013534494765,20.40343347639485,3.6229639854083597,32.55450814269388,2,4,0,1,3,5
T0 Gul 1.1 (1-8).JPG,6,0.35944353929063794,0.2868,0.14355474763162593,0.27349801877192986,22.460251046025103,10.248796041467404,21.32705718270572,4.517640163940074,30.972669325146505,2,2,0,1,2,4
T0 Gul 1.2 (9-16).JPG,1,0.3965600775193798,0.3274,0.16154069470925622,0.28468403723686864,27.10568112400733,10.95848547421331,18.073915699450215,6.788994300822126,32.578894669819604,3,4,0,1,3,5
