label,h,s,v
0,24,75,242
0,16,99,178
1,7,104,233
0,24,76,228
1,16,73,242
0,27,94,214
0,34,121,142
1,20,59,252
1,18,69,244
1,17,60,254
1,3,118,227
1,7,97,233
0,20,64,247
1,0,124,226
1,13,79,243
0,29,77,221
0,0,0,255
1,12,85,241
0,0,0,255
0,0,0,255
0,22,61,252
0,5,12,181
1,2,114,219
0,26,75,249
1,14,66,253
1,14,74,253
0,24,70,251
0,26,88,231
1,1,130,232
0,24,59,253
1,65,121,231
0,25,80,237
0,27,83,247
0,25,57,254
0,13,43,134
1,3,109,245
0,0,0,255
1,2,102,204
0,20,76,237
1,4,104,223
0,28,82,212
1,23,71,252
0,20,67,243
0,0,0,255
0,26,72,237
1,13,78,250
0,177,140,183
1,10,90,224
1,14,67,253
0,28,95,187
0,25,76,242
1,16,78,249
1,33,116,238
0,22,63,252
0,24,63,253
0,22,68,242
0,22,54,254
1,171,120,225
0,22,80,237
0,21,83,153
1,17,66,253
1,21,53,254
0,20,74,246
1,152,119,216
1,7,100,231
1,17,71,250
0,30,43,253
0,19,91,223
1,9,79,244
1,176,103,197
0,0,0,255
1,6,86,236
1,15,72,250
1,5,77,244
1,9,79,243
0,26,77,252
0,23,61,254
1,16,69,248
1,5,76,242
1,1,94,213
0,26,71,243
0,30,86,197
0,23,88,219
0,0,0,255
1,20,63,251
0,33,114,191
0,25,93,215
1,16,55,246
1,26,114,214
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,22,61,249
0,23,80,237
1,172,109,182
0,24,85,233
0,0,0,255
1,7,106,198
1,19,78,247
0,25,91,242
0,27,97,203
1,17,114,193
0,19,93,204
0,0,0,255
0,0,0,255
1,110,95,186
1,16,92,236
1,18,87,220
0,26,93,215
0,0,0,255
1,4,81,254
1,2,110,224
1,0,99,219
0,24,70,242
1,19,80,252
1,169,102,184
1,4,122,222
0,0,0,255
0,24,102,171
1,2,94,228
1,18,79,246
0,21,66,253
0,20,73,248
1,6,86,233
0,0,0,255
1,9,111,209
0,23,80,247
0,5,23,223
1,10,100,218
0,27,90,209
0,24,78,246
0,2,8,229
0,24,80,241
0,26,76,252
0,0,0,255
0,0,0,255
0,21,91,229
1,13,99,218
0,23,91,244
0,26,87,227
0,19,92,199
1,10,94,233
1,175,109,184
1,13,84,245
1,9,92,223
1,8,88,215
0,24,98,217
0,22,93,245
0,18,91,144
1,18,82,248
0,23,88,247
0,0,0,255
0,23,89,245
1,22,87,250
1,18,82,250
1,24,61,253
0,26,85,191
0,24,82,233
1,17,78,244
1,17,48,254
0,24,91,233
0,25,72,250
1,4,108,225
0,0,0,255
0,28,79,216
0,23,60,254
1,3,107,233
0,28,67,254
0,0,0,255
0,24,57,253
0,25,85,226
0,0,0,255
0,22,82,237
0,25,88,219
0,24,76,239
0,24,80,232
0,23,79,242
0,26,98,198
0,26,80,239
0,26,90,199
1,11,90,225
0,21,89,139
0,22,95,151
1,2,113,197
0,26,76,234
0,0,0,255
1,8,95,234
1,11,80,251
1,7,105,218
1,15,92,233
1,6,99,219
1,8,112,215
1,18,57,254
1,54,105,205
1,17,94,216
1,178,132,176
1,178,123,181
1,6,108,209
0,13,99,217
1,7,105,219
1,157,123,184
0,26,122,225
0,0,0,255
0,0,0,255
0,20,92,216
0,23,104,219
0,0,0,255
1,8,99,205
1,12,95,218
0,20,76,157
0,0,0,255
1,13,97,239
1,171,117,201
1,11,97,213
0,0,0,255
0,16,74,246
0,18,83,239
0,0,0,255
1,12,50,254
1,12,83,253
1,171,124,178
1,10,71,243
0,21,66,238
0,0,0,255
0,0,0,255
1,177,125,189
0,0,0,255
1,12,85,218
0,21,62,254
0,22,96,231
0,22,119,248
0,33,126,197
0,0,0,255
1,7,125,192
0,0,0,255
